lag,zScoreThreshold,influence,bumpPressCount,correctBumpDetections,incorrectBumpDetections,potholePressCount,correctPotholeDetections,incorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess,bumpFalsePositives,potholeFalsePositives,activeFilterThresholdBump,activeFilterPosCoefBump,activeFilterNegCoefBump,activeFilterThresholdPothole,activeFilterPosCoefPothole,activeFilterNegCoefPothole
50, 10.000000, 0.250000, 21, 19, 2, 8, 6, 2, 90.476190, 75.000000, -19, -6, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 10.000000, 0.250000, 21, 19, 2, 8, 6, 2, 90.476190, 75.000000, -19, -6, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 10.000000, 0.250000, 21, 19, 2, 8, 6, 2, 90.476190, 75.000000, 3, 7, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 10.000000, 0.250000, 21, 19, 2, 8, 6, 2, 90.476190, 75.000000, 3, 7, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 10.000000, 0.250000, 21, 19, 2, 8, 6, 2, 90.476190, 75.000000, 3, 7, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 10.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0, 0, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 10.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0, 0, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 10.000000, 0.250000, 21, 19, 2, 8, 6, 2, 90.476190, 75.000000, 3, 7, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 10.000000, 0.250000, 21, 19, 2, 8, 6, 2, 90.476190, 75.000000, 3, 7, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 10.000000, 0.250000, 21, 19, 2, 8, 6, 2, 90.476190, 75.000000, 3, 7, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 5.000000, 0.250000, 21, 16, 5, 8, 5, 3, 76.190476, 62.500000, 33, 24, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
50, 10.000000, 0.250000, 21, 19, 2, 8, 6, 2, 90.476190, 75.000000, 3, 7, 0.190000, 1.700000, 0.700000, 0.180000, 1.900000, 0.100000
