lag,threshold,influence,numberOfBumps,numberOfCorrectBumpDetections,numberOfIncorrectBumpDetections,numberOfPotholes,numberOfCorrectPotholeDetections,numberOfIncorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess,filterThreshold,positiveCoef,negativeCoef
50,10.000000,0.250000,21,0,21,8,1,7,0.000000,12.500000,0.170000,1.700000,0.500000
50,10.000000,0.250000,21,0,21,8,1,7,0.000000,12.500000,0.180000,1.700000,0.500000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.170000,1.700000,0.400000
50,10.000000,0.250000,21,0,21,8,3,5,0.000000,37.500000,0.180000,1.700000,0.400000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.170000,1.700000,0.300000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.180000,1.700000,0.300000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.170000,1.700000,0.200000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.180000,1.700000,0.200000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.170000,1.700000,0.100000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.180000,1.700000,0.100000
50,10.000000,0.250000,21,0,21,8,2,6,0.000000,25.000000,0.170000,1.800000,0.500000
50,10.000000,0.250000,21,0,21,8,2,6,0.000000,25.000000,0.180000,1.800000,0.500000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.170000,1.800000,0.400000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.180000,1.800000,0.400000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.170000,1.800000,0.300000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.180000,1.800000,0.300000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.170000,1.800000,0.200000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.180000,1.800000,0.200000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.170000,1.800000,0.100000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.180000,1.800000,0.100000
50,10.000000,0.250000,21,0,21,8,2,6,0.000000,25.000000,0.170000,1.900000,0.500000
50,10.000000,0.250000,21,0,21,8,2,6,0.000000,25.000000,0.180000,1.900000,0.500000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.170000,1.900000,0.400000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.180000,1.900000,0.400000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.170000,1.900000,0.300000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.180000,1.900000,0.300000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.170000,1.900000,0.200000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.180000,1.900000,0.200000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.170000,1.900000,0.100000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.180000,1.900000,0.100000
50,10.000000,0.250000,21,0,21,8,2,6,0.000000,25.000000,0.170000,2.000000,0.500000
50,10.000000,0.250000,21,0,21,8,2,6,0.000000,25.000000,0.180000,2.000000,0.500000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.170000,2.000000,0.400000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.180000,2.000000,0.400000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.170000,2.000000,0.300000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.180000,2.000000,0.300000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.170000,2.000000,0.200000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.180000,2.000000,0.200000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.170000,2.000000,0.100000
50,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.180000,2.000000,0.100000
50,10.000000,0.250000,21,0,21,8,2,6,0.000000,25.000000,0.200000,1.400000,0.400000
50,10.000000,0.250000,21,17,4,8,1,7,80.952381,12.500000,0.200000,1.400000,0.400000
50,10.000000,0.250000,21,21,0,8,8,0,100.000000,100.000000,0.200000,1.400000,0.400000
50,10.000000,0.250000,21,21,0,8,8,0,100.000000,100.000000,0.200000,1.400000,0.400000
50,10.000000,0.250000,21,21,0,8,8,0,100.000000,100.000000,0.200000,1.400000,0.400000
50,10.000000,0.250000,21,17,4,8,1,7,80.952381,12.500000,0.200000,1.400000,0.400000
50,10.000000,0.250000,21,17,4,8,1,7,80.952381,12.500000,0.200000,1.400000,0.400000
50,10.000000,0.250000,21,0,21,8,1,7,0.000000,12.500000,0.200000,1.400000,0.400000
50,10.000000,0.250000,21,0,21,8,1,7,0.000000,12.500000,0.200000,1.400000,0.400000
