lag,threshold,influence,numberOfBumps,numberOfCorrectBumpDetections,numberOfIncorrectBumpDetections,numberOfPotholes,numberOfCorrectPotholeDetections,numberOfIncorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess,filterThreshold
50,8.000000,0.250000,21,15,6,11,2,9,71.428571,18.181818,0.150000
50,8.000000,0.250000,21,15,6,11,2,9,71.428571,18.181818,0.160000
50,8.000000,0.250000,21,16,5,11,2,9,76.190476,18.181818,0.170000
50,8.000000,0.250000,21,16,5,11,2,9,76.190476,18.181818,0.180000
50,8.000000,0.250000,21,17,4,11,2,9,80.952381,18.181818,0.190000
50,8.000000,0.250000,21,16,5,11,1,10,76.190476,9.090909,0.200000
50,8.000000,0.250000,21,16,5,11,1,10,76.190476,9.090909,0.210000
50,8.000000,0.250000,21,14,7,11,1,10,66.666667,9.090909,0.220000
50,8.000000,0.250000,21,13,8,11,1,10,61.904762,9.090909,0.230000
50,8.000000,0.250000,21,13,8,11,1,10,61.904762,9.090909,0.240000
50,9.000000,0.250000,21,16,5,11,2,9,76.190476,18.181818,0.150000
50,9.000000,0.250000,21,16,5,11,2,9,76.190476,18.181818,0.160000
50,9.000000,0.250000,21,17,4,11,2,9,80.952381,18.181818,0.170000
50,9.000000,0.250000,21,17,4,11,2,9,80.952381,18.181818,0.180000
50,9.000000,0.250000,21,17,4,11,2,9,80.952381,18.181818,0.190000
50,9.000000,0.250000,21,16,5,11,1,10,76.190476,9.090909,0.200000
50,9.000000,0.250000,21,15,6,11,1,10,71.428571,9.090909,0.210000
50,9.000000,0.250000,21,13,8,11,1,10,61.904762,9.090909,0.220000
50,9.000000,0.250000,21,12,9,11,1,10,57.142857,9.090909,0.230000
50,9.000000,0.250000,21,12,9,11,1,10,57.142857,9.090909,0.240000
50,10.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.150000
50,10.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.160000
50,10.000000,0.250000,21,18,3,11,1,10,85.714286,9.090909,0.170000
50,10.000000,0.250000,21,18,3,11,1,10,85.714286,9.090909,0.180000
50,10.000000,0.250000,21,18,3,11,1,10,85.714286,9.090909,0.190000
50,10.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.200000
50,10.000000,0.250000,21,16,5,11,1,10,76.190476,9.090909,0.210000
50,10.000000,0.250000,21,14,7,11,1,10,66.666667,9.090909,0.220000
50,10.000000,0.250000,21,13,8,11,1,10,61.904762,9.090909,0.230000
50,10.000000,0.250000,21,13,8,11,1,10,61.904762,9.090909,0.240000
50,11.000000,0.250000,21,18,3,11,1,10,85.714286,9.090909,0.150000
50,11.000000,0.250000,21,18,3,11,1,10,85.714286,9.090909,0.160000
50,11.000000,0.250000,21,18,3,11,1,10,85.714286,9.090909,0.170000
50,11.000000,0.250000,21,18,3,11,1,10,85.714286,9.090909,0.180000
50,11.000000,0.250000,21,18,3,11,1,10,85.714286,9.090909,0.190000
50,11.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.200000
50,11.000000,0.250000,21,16,5,11,1,10,76.190476,9.090909,0.210000
50,11.000000,0.250000,21,14,7,11,1,10,66.666667,9.090909,0.220000
50,11.000000,0.250000,21,13,8,11,1,10,61.904762,9.090909,0.230000
50,11.000000,0.250000,21,13,8,11,1,10,61.904762,9.090909,0.240000
50,12.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.150000
50,12.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.160000
50,12.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.170000
50,12.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.180000
50,12.000000,0.250000,21,16,5,11,1,10,76.190476,9.090909,0.190000
50,12.000000,0.250000,21,15,6,11,1,10,71.428571,9.090909,0.200000
50,12.000000,0.250000,21,14,7,11,1,10,66.666667,9.090909,0.210000
50,12.000000,0.250000,21,12,9,11,1,10,57.142857,9.090909,0.220000
50,12.000000,0.250000,21,11,10,11,1,10,52.380952,9.090909,0.230000
50,12.000000,0.250000,21,11,10,11,1,10,52.380952,9.090909,0.240000
