lag,threshold,influence,numberOfBumps,numberOfCorrectBumpDetections,numberOfIncorrectBumpDetections,numberOfPotholes,numberOfCorrectPotholeDetections,numberOfIncorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess
40,7.000000,0.000000,19,8,11,8,2,6,42.105263,25.000000
40,7.000000,0.100000,19,13,6,8,5,3,68.421053,62.500000
40,7.000000,0.200000,19,12,7,8,5,3,63.157895,62.500000
40,8.000000,0.000000,19,9,10,8,2,6,47.368421,25.000000
40,8.000000,0.100000,19,13,6,8,5,3,68.421053,62.500000
40,8.000000,0.200000,19,12,7,8,5,3,63.157895,62.500000
40,9.000000,0.000000,19,10,9,8,3,5,52.631579,37.500000
40,9.000000,0.100000,19,13,6,8,5,3,68.421053,62.500000
40,9.000000,0.200000,19,12,7,8,5,3,63.157895,62.500000
40,10.000000,0.000000,19,12,7,8,3,5,63.157895,37.500000
40,10.000000,0.100000,19,12,7,8,5,3,63.157895,62.500000
40,10.000000,0.200000,19,12,7,8,5,3,63.157895,62.500000
40,11.000000,0.000000,19,12,7,8,3,5,63.157895,37.500000
40,11.000000,0.100000,19,12,7,8,5,3,63.157895,62.500000
40,11.000000,0.200000,19,12,7,8,5,3,63.157895,62.500000
40,12.000000,0.000000,19,10,9,8,5,3,52.631579,62.500000
40,12.000000,0.100000,19,11,8,8,5,3,57.894737,62.500000
40,12.000000,0.200000,19,11,8,8,5,3,57.894737,62.500000
40,13.000000,0.000000,19,10,9,8,4,4,52.631579,50.000000
40,13.000000,0.100000,19,11,8,8,4,4,57.894737,50.000000
40,13.000000,0.200000,19,11,8,8,4,4,57.894737,50.000000
40,14.000000,0.000000,19,11,8,8,4,4,57.894737,50.000000
40,14.000000,0.100000,19,11,8,8,4,4,57.894737,50.000000
40,14.000000,0.200000,19,11,8,8,4,4,57.894737,50.000000
40,15.000000,0.000000,19,10,9,8,4,4,52.631579,50.000000
40,15.000000,0.100000,19,10,9,8,4,4,52.631579,50.000000
40,15.000000,0.200000,19,10,9,8,4,4,52.631579,50.000000
40,16.000000,0.000000,19,10,9,8,4,4,52.631579,50.000000
40,16.000000,0.100000,19,10,9,8,4,4,52.631579,50.000000
40,16.000000,0.200000,19,10,9,8,4,4,52.631579,50.000000
40,17.000000,0.000000,19,11,8,8,4,4,57.894737,50.000000
40,17.000000,0.100000,19,11,8,8,4,4,57.894737,50.000000
40,17.000000,0.200000,19,11,8,8,4,4,57.894737,50.000000
40,18.000000,0.000000,19,11,8,8,4,4,57.894737,50.000000
40,18.000000,0.100000,19,11,8,8,4,4,57.894737,50.000000
40,18.000000,0.200000,19,11,8,8,4,4,57.894737,50.000000
40,19.000000,0.000000,19,10,9,8,4,4,52.631579,50.000000
40,19.000000,0.100000,19,10,9,8,4,4,52.631579,50.000000
40,19.000000,0.200000,19,10,9,8,4,4,52.631579,50.000000
40,20.000000,0.000000,19,10,9,8,4,4,52.631579,50.000000
40,20.000000,0.100000,19,10,9,8,4,4,52.631579,50.000000
40,20.000000,0.200000,19,10,9,8,4,4,52.631579,50.000000
41,7.000000,0.000000,19,7,12,8,2,6,36.842105,25.000000
41,7.000000,0.100000,19,13,6,8,5,3,68.421053,62.500000
41,7.000000,0.200000,19,12,7,8,5,3,63.157895,62.500000
41,8.000000,0.000000,19,8,11,8,2,6,42.105263,25.000000
41,8.000000,0.100000,19,13,6,8,5,3,68.421053,62.500000
41,8.000000,0.200000,19,12,7,8,5,3,63.157895,62.500000
41,9.000000,0.000000,19,9,10,8,2,6,47.368421,25.000000
41,9.000000,0.100000,19,13,6,8,5,3,68.421053,62.500000
41,9.000000,0.200000,19,12,7,8,5,3,63.157895,62.500000
41,10.000000,0.000000,19,11,8,8,3,5,57.894737,37.500000
41,10.000000,0.100000,19,12,7,8,5,3,63.157895,62.500000
41,10.000000,0.200000,19,12,7,8,5,3,63.157895,62.500000
41,11.000000,0.000000,19,11,8,8,4,4,57.894737,50.000000
41,11.000000,0.100000,19,11,8,8,5,3,57.894737,62.500000
41,11.000000,0.200000,19,11,8,8,5,3,57.894737,62.500000
41,12.000000,0.000000,19,10,9,8,5,3,52.631579,62.500000
41,12.000000,0.100000,19,11,8,8,5,3,57.894737,62.500000
41,12.000000,0.200000,19,11,8,8,5,3,57.894737,62.500000
41,13.000000,0.000000,19,10,9,8,4,4,52.631579,50.000000
41,13.000000,0.100000,19,11,8,8,4,4,57.894737,50.000000
41,13.000000,0.200000,19,11,8,8,4,4,57.894737,50.000000
41,14.000000,0.000000,19,11,8,8,4,4,57.894737,50.000000
41,14.000000,0.100000,19,11,8,8,4,4,57.894737,50.000000
41,14.000000,0.200000,19,11,8,8,4,4,57.894737,50.000000
41,15.000000,0.000000,19,10,9,8,4,4,52.631579,50.000000
41,15.000000,0.100000,19,10,9,8,4,4,52.631579,50.000000
41,15.000000,0.200000,19,10,9,8,4,4,52.631579,50.000000
41,16.000000,0.000000,19,11,8,8,4,4,57.894737,50.000000
41,16.000000,0.100000,19,11,8,8,4,4,57.894737,50.000000
41,16.000000,0.200000,19,11,8,8,4,4,57.894737,50.000000
41,17.000000,0.000000,19,11,8,8,4,4,57.894737,50.000000
41,17.000000,0.100000,19,11,8,8,4,4,57.894737,50.000000
41,17.000000,0.200000,19,11,8,8,4,4,57.894737,50.000000
41,18.000000,0.000000,19,11,8,8,4,4,57.894737,50.000000
41,18.000000,0.100000,19,11,8,8,4,4,57.894737,50.000000
41,18.000000,0.200000,19,11,8,8,4,4,57.894737,50.000000
41,19.000000,0.000000,19,10,9,8,4,4,52.631579,50.000000
41,19.000000,0.100000,19,10,9,8,4,4,52.631579,50.000000
41,19.000000,0.200000,19,10,9,8,4,4,52.631579,50.000000
41,20.000000,0.000000,19,10,9,8,4,4,52.631579,50.000000
40,7.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
40,9.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
40,11.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
40,13.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
40,15.000000,0.250000,19,10,9,8,4,4,52.631579,50.000000
40,17.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
40,19.000000,0.250000,19,10,9,8,4,4,52.631579,50.000000
42,7.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
42,9.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
42,11.000000,0.250000,19,11,8,8,5,3,57.894737,62.500000
42,13.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
42,15.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
42,17.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
42,19.000000,0.250000,19,10,9,8,4,4,52.631579,50.000000
44,7.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
44,9.000000,0.250000,19,12,7,8,5,3,63.157895,62.500000
44,11.000000,0.250000,19,11,8,8,5,3,57.894737,62.500000
44,13.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
44,15.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
44,17.000000,0.250000,19,11,8,8,4,4,57.894737,50.000000
44,19.000000,0.250000,19,10,9,8,4,4,52.631579,50.000000
