lag,threshold,influence,numberOfBumps,numberOfCorrectBumpDetections,numberOfIncorrectBumpDetections,numberOfPotholes,numberOfCorrectPotholeDetections,numberOfIncorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess,filterThreshold,positiveCoef,negativeCoef
50,10.000000,0.250000,21,0,21,8,2,6,0.000000,25.000000,0.200000,1.400000,0.400000
45,8.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.150000,1.400000,0.400000
45,8.000000,0.250000,21,0,21,8,4,4,0.000000,50.000000,0.200000,1.400000,0.400000
45,8.000000,0.250000,21,0,21,8,5,3,0.000000,62.500000,0.250000,1.400000,0.400000
45,9.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.150000,1.400000,0.400000
45,9.000000,0.250000,21,0,21,8,2,6,0.000000,25.000000,0.200000,1.400000,0.400000
45,9.000000,0.250000,21,0,21,8,2,6,0.000000,25.000000,0.250000,1.400000,0.400000
45,10.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.150000,1.400000,0.400000
45,10.000000,0.250000,21,0,21,8,2,6,0.000000,25.000000,0.200000,1.400000,0.400000
45,10.000000,0.250000,21,18,3,8,2,6,85.714286,25.000000,0.250000,1.400000,0.400000
45,11.000000,0.250000,21,16,5,8,1,7,76.190476,12.500000,0.150000,1.400000,0.400000
45,11.000000,0.250000,21,16,5,8,1,7,76.190476,12.500000,0.200000,1.400000,0.400000
45,11.000000,0.250000,21,16,5,8,1,7,76.190476,12.500000,0.250000,1.400000,0.400000
45,12.000000,0.250000,21,15,6,8,1,7,71.428571,12.500000,0.150000,1.400000,0.400000
45,12.000000,0.250000,21,16,5,8,1,7,76.190476,12.500000,0.200000,1.400000,0.400000
45,12.000000,0.250000,21,16,5,8,1,7,76.190476,12.500000,0.250000,1.400000,0.400000
45,13.000000,0.250000,21,15,6,8,1,7,71.428571,12.500000,0.150000,1.400000,0.400000
45,13.000000,0.250000,21,16,5,8,1,7,76.190476,12.500000,0.200000,1.400000,0.400000
45,13.000000,0.250000,21,16,5,8,1,7,76.190476,12.500000,0.250000,1.400000,0.400000
50,8.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.150000,1.400000,0.400000
50,8.000000,0.250000,21,0,21,8,4,4,0.000000,50.000000,0.200000,1.400000,0.400000
50,8.000000,0.250000,21,0,21,8,5,3,0.000000,62.500000,0.250000,1.400000,0.400000
50,9.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.150000,1.400000,0.400000
50,9.000000,0.250000,21,0,21,8,2,6,0.000000,25.000000,0.200000,1.400000,0.400000
50,9.000000,0.250000,21,0,21,8,2,6,0.000000,25.000000,0.250000,1.400000,0.400000
50,10.000000,0.250000,21,0,21,8,2,6,0.000000,25.000000,0.150000,1.400000,0.400000
50,10.000000,0.250000,21,0,21,8,2,6,0.000000,25.000000,0.200000,1.400000,0.400000
50,10.000000,0.250000,21,18,3,8,2,6,85.714286,25.000000,0.250000,1.400000,0.400000
50,11.000000,0.250000,21,0,21,8,1,7,0.000000,12.500000,0.150000,1.400000,0.400000
50,11.000000,0.250000,21,0,21,8,1,7,0.000000,12.500000,0.200000,1.400000,0.400000
50,11.000000,0.250000,21,18,3,8,1,7,85.714286,12.500000,0.250000,1.400000,0.400000
50,12.000000,0.250000,21,17,4,8,1,7,80.952381,12.500000,0.150000,1.400000,0.400000
50,12.000000,0.250000,21,17,4,8,1,7,80.952381,12.500000,0.200000,1.400000,0.400000
50,12.000000,0.250000,21,17,4,8,1,7,80.952381,12.500000,0.250000,1.400000,0.400000
50,13.000000,0.250000,21,16,5,8,1,7,76.190476,12.500000,0.150000,1.400000,0.400000
50,13.000000,0.250000,21,17,4,8,1,7,80.952381,12.500000,0.200000,1.400000,0.400000
50,13.000000,0.250000,21,17,4,8,1,7,80.952381,12.500000,0.250000,1.400000,0.400000
55,8.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.150000,1.400000,0.400000
55,8.000000,0.250000,21,0,21,8,4,4,0.000000,50.000000,0.200000,1.400000,0.400000
55,8.000000,0.250000,21,0,21,8,5,3,0.000000,62.500000,0.250000,1.400000,0.400000
55,9.000000,0.250000,21,0,21,8,0,8,0.000000,0.000000,0.150000,1.400000,0.400000
55,9.000000,0.250000,21,0,21,8,3,5,0.000000,37.500000,0.200000,1.400000,0.400000
55,9.000000,0.250000,21,0,21,8,4,4,0.000000,50.000000,0.250000,1.400000,0.400000
55,10.000000,0.250000,21,0,21,8,1,7,0.000000,12.500000,0.150000,1.400000,0.400000
55,10.000000,0.250000,21,0,21,8,1,7,0.000000,12.500000,0.200000,1.400000,0.400000
55,10.000000,0.250000,21,18,3,8,1,7,85.714286,12.500000,0.250000,1.400000,0.400000
55,11.000000,0.250000,21,0,21,8,1,7,0.000000,12.500000,0.150000,1.400000,0.400000
