lag,threshold,influence,numberOfBumps,numberOfCorrectBumpDetections,numberOfIncorrectBumpDetections,numberOfPotholes,numberOfCorrectPotholeDetections,numberOfIncorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess,filterThreshold,positiveCoef,negativeCoef
50,10,0.25,21,17,4,8,0,8,80.952381,0,0.15,1.7,0.9
50,10,0.25,21,17,4,8,0,8,80.952381,0,0.16,1.7,0.9
50,10,0.25,21,17,4,8,0,8,80.952381,0,0.17,1.7,0.9
50,10,0.25,21,17,4,8,0,8,80.952381,0,0.18,1.7,0.9
50,10,0.25,21,17,4,8,0,8,80.952381,0,0.19,1.7,0.9
50,10,0.25,21,17,4,8,0,8,80.952381,0,0.15,1.9,0.9
50,10,0.25,21,17,4,8,0,8,80.952381,0,0.16,1.9,0.9
50,10,0.25,21,17,4,8,0,8,80.952381,0,0.17,1.9,0.9
50,10,0.25,21,17,4,8,0,8,80.952381,0,0.18,1.9,0.9
50,10,0.25,21,17,4,8,0,8,80.952381,0,0.19,1.9,0.9
50,10,0.25,21,16,5,8,0,8,76.190476,0,0.15,1.3,0.7
50,10,0.25,21,16,5,8,0,8,76.190476,0,0.16,1.3,0.7
50,10,0.25,21,16,5,8,0,8,76.190476,0,0.17,1.3,0.7
50,10,0.25,21,16,5,8,0,8,76.190476,0,0.18,1.3,0.7
50,10,0.25,21,16,5,8,0,8,76.190476,0,0.19,1.3,0.7
50,10,0.25,21,16,5,8,0,8,76.190476,0,0.15,1.3,0.7
50,10,0.25,21,16,5,8,0,8,76.190476,0,0.16,1.3,0.7
50,10,0.25,21,16,5,8,0,8,76.190476,0,0.17,1.3,0.7
50,10,0.25,21,16,5,8,0,8,76.190476,0,0.18,1.3,0.7
50,10,0.25,21,16,5,8,0,8,76.190476,0,0.19,1.3,0.7
50,10,0.25,21,16,5,8,0,8,76.190476,0,0.15,1.5,0.9
50,10,0.25,21,16,5,8,0,8,76.190476,0,0.16,1.5,0.9
50,10,0.25,21,16,5,8,0,8,76.190476,0,0.17,1.5,0.9
50,10,0.25,21,16,5,8,0,8,76.190476,0,0.18,1.5,0.9
50,10,0.25,21,16,5,8,0,8,76.190476,0,0.19,1.5,0.9
50,10,0.25,21,16,5,8,0,8,76.190476,0,0.2,1.7,0.9
50,10,0.25,21,16,5,8,0,8,76.190476,0,0.2,1.9,0.9
50,10,0.25,21,15,6,8,0,8,71.428571,0,0.2,1.3,0.7
50,10,0.25,21,15,6,8,0,8,71.428571,0,0.2,1.3,0.7
50,10,0.25,21,15,6,8,0,8,71.428571,0,0.2,1.5,0.9
50,10,0.25,21,15,6,8,0,8,71.428571,0,0.21,1.7,0.9
50,10,0.25,21,15,6,8,0,8,71.428571,0,0.21,1.9,0.9
50,10,0.25,21,14,7,8,0,8,66.666667,0,0.15,1.1,0.7
50,10,0.25,21,14,7,8,0,8,66.666667,0,0.16,1.1,0.7
50,10,0.25,21,14,7,8,0,8,66.666667,0,0.17,1.1,0.7
50,10,0.25,21,14,7,8,0,8,66.666667,0,0.18,1.1,0.7
50,10,0.25,21,14,7,8,0,8,66.666667,0,0.19,1.1,0.7
50,10,0.25,21,14,7,8,0,8,66.666667,0,0.21,1.3,0.7
50,10,0.25,21,14,7,8,0,8,66.666667,0,0.21,1.3,0.7
50,10,0.25,21,14,7,8,0,8,66.666667,0,0.21,1.5,0.9
50,10,0.25,21,14,7,8,0,8,66.666667,0,0.22,1.7,0.9
50,10,0.25,21,14,7,8,0,8,66.666667,0,0.23,1.7,0.9
50,10,0.25,21,14,7,8,0,8,66.666667,0,0.22,1.9,0.9
50,10,0.25,21,14,7,8,0,8,66.666667,0,0.23,1.9,0.9
50,10,0.25,21,13,8,8,0,8,61.904762,0,0.2,1.1,0.7
50,10,0.25,21,13,8,8,0,8,61.904762,0,0.15,1.3,0.9
50,10,0.25,21,13,8,8,0,8,61.904762,0,0.16,1.3,0.9
50,10,0.25,21,13,8,8,0,8,61.904762,0,0.17,1.3,0.9
50,10,0.25,21,13,8,8,0,8,61.904762,0,0.18,1.3,0.9
50,10,0.25,21,13,8,8,0,8,61.904762,0,0.19,1.3,0.9
50,10,0.25,21,13,8,8,0,8,61.904762,0,0.2,1.3,0.9
50,10,0.25,21,13,8,8,0,8,61.904762,0,0.22,1.3,0.7
50,10,0.25,21,13,8,8,0,8,61.904762,0,0.23,1.3,0.7
50,10,0.25,21,13,8,8,0,8,61.904762,0,0.15,1.3,0.9
