lag,threshold,influence,numberOfBumps,numberOfCorrectBumpDetections,numberOfIncorrectBumpDetections,numberOfPotholes,numberOfCorrectPotholeDetections,numberOfIncorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess,filterThreshold,positiveCoef,negativeCoef
50,10.000000,0.250000,21,12,9,11,0,11,57.142857,0.000000,0.200000,1.100000,0.900000
50,10.000000,0.250000,21,13,8,11,0,11,61.904762,0.000000,0.200000,1.100000,0.800000
50,10.000000,0.250000,21,13,8,11,0,11,61.904762,0.000000,0.200000,1.100000,0.700000
50,10.000000,0.250000,21,15,6,11,0,11,71.428571,0.000000,0.200000,1.100000,0.600000
50,10.000000,0.250000,21,16,5,11,1,10,76.190476,9.090909,0.200000,1.100000,0.500000
50,10.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.200000,1.100000,0.400000
50,10.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.200000,1.100000,0.300000
50,10.000000,0.250000,21,15,6,11,3,8,71.428571,27.272727,0.200000,1.100000,0.200000
50,10.000000,0.250000,21,14,7,11,4,7,66.666667,36.363636,0.200000,1.100000,0.100000
50,10.000000,0.250000,21,13,8,11,0,11,61.904762,0.000000,0.200000,1.200000,0.900000
50,10.000000,0.250000,21,13,8,11,0,11,61.904762,0.000000,0.200000,1.200000,0.800000
50,10.000000,0.250000,21,15,6,11,0,11,71.428571,0.000000,0.200000,1.200000,0.700000
50,10.000000,0.250000,21,16,5,11,0,11,76.190476,0.000000,0.200000,1.200000,0.600000
50,10.000000,0.250000,21,18,3,11,1,10,85.714286,9.090909,0.200000,1.200000,0.500000
50,10.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.200000,1.200000,0.400000
50,10.000000,0.250000,21,16,5,11,1,10,76.190476,9.090909,0.200000,1.200000,0.300000
50,10.000000,0.250000,21,15,6,11,3,8,71.428571,27.272727,0.200000,1.200000,0.200000
50,10.000000,0.250000,21,14,7,11,4,7,66.666667,36.363636,0.200000,1.200000,0.100000
50,10.000000,0.250000,21,13,8,11,0,11,61.904762,0.000000,0.200000,1.300000,0.900000
50,10.000000,0.250000,21,14,7,11,0,11,66.666667,0.000000,0.200000,1.300000,0.800000
50,10.000000,0.250000,21,15,6,11,0,11,71.428571,0.000000,0.200000,1.300000,0.700000
50,10.000000,0.250000,21,16,5,11,1,10,76.190476,9.090909,0.200000,1.300000,0.600000
50,10.000000,0.250000,21,18,3,11,1,10,85.714286,9.090909,0.200000,1.300000,0.500000
50,10.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.200000,1.300000,0.400000
50,10.000000,0.250000,21,16,5,11,1,10,76.190476,9.090909,0.200000,1.300000,0.300000
50,10.000000,0.250000,21,15,6,11,3,8,71.428571,27.272727,0.200000,1.300000,0.200000
50,10.000000,0.250000,21,14,7,11,5,6,66.666667,45.454545,0.200000,1.300000,0.100000
50,10.000000,0.250000,21,13,8,11,0,11,61.904762,0.000000,0.200000,1.400000,0.900000
50,10.000000,0.250000,21,15,6,11,0,11,71.428571,0.000000,0.200000,1.400000,0.800000
50,10.000000,0.250000,21,16,5,11,0,11,76.190476,0.000000,0.200000,1.400000,0.700000
50,10.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.200000,1.400000,0.600000
50,10.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.200000,1.400000,0.500000
50,10.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.200000,1.400000,0.400000
50,10.000000,0.250000,21,16,5,11,2,9,76.190476,18.181818,0.200000,1.400000,0.300000
50,10.000000,0.250000,21,15,6,11,4,7,71.428571,36.363636,0.200000,1.400000,0.200000
50,10.000000,0.250000,21,14,7,11,5,6,66.666667,45.454545,0.200000,1.400000,0.100000
50,10.000000,0.250000,21,15,6,11,0,11,71.428571,0.000000,0.200000,1.500000,0.900000
50,10.000000,0.250000,21,16,5,11,0,11,76.190476,0.000000,0.200000,1.500000,0.800000
50,10.000000,0.250000,21,16,5,11,1,10,76.190476,9.090909,0.200000,1.500000,0.700000
50,10.000000,0.250000,21,18,3,11,1,10,85.714286,9.090909,0.200000,1.500000,0.600000
50,10.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.200000,1.500000,0.500000
50,10.000000,0.250000,21,16,5,11,1,10,76.190476,9.090909,0.200000,1.500000,0.400000
50,10.000000,0.250000,21,16,5,11,2,9,76.190476,18.181818,0.200000,1.500000,0.300000
50,10.000000,0.250000,21,15,6,11,4,7,71.428571,36.363636,0.200000,1.500000,0.200000
50,10.000000,0.250000,21,14,7,11,5,6,66.666667,45.454545,0.200000,1.500000,0.100000
50,10.000000,0.250000,21,15,6,11,0,11,71.428571,0.000000,0.200000,1.600000,0.900000
50,10.000000,0.250000,21,16,5,11,0,11,76.190476,0.000000,0.200000,1.600000,0.800000
50,10.000000,0.250000,21,16,5,11,1,10,76.190476,9.090909,0.200000,1.600000,0.700000
50,10.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.200000,1.600000,0.600000
50,10.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.200000,1.600000,0.500000
50,10.000000,0.250000,21,16,5,11,1,10,76.190476,9.090909,0.200000,1.600000,0.400000
50,10.000000,0.250000,21,15,6,11,3,8,71.428571,27.272727,0.200000,1.600000,0.300000
50,10.000000,0.250000,21,15,6,11,4,7,71.428571,36.363636,0.200000,1.600000,0.200000
50,10.000000,0.250000,21,14,7,11,5,6,66.666667,45.454545,0.200000,1.600000,0.100000
50,10.000000,0.250000,21,16,5,11,0,11,76.190476,0.000000,0.200000,1.700000,0.900000
50,10.000000,0.250000,21,16,5,11,1,10,76.190476,9.090909,0.200000,1.700000,0.800000
50,10.000000,0.250000,21,18,3,11,1,10,85.714286,9.090909,0.200000,1.700000,0.700000
50,10.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.200000,1.700000,0.600000
50,10.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.200000,1.700000,0.500000
50,10.000000,0.250000,21,16,5,11,1,10,76.190476,9.090909,0.200000,1.700000,0.400000
50,10.000000,0.250000,21,15,6,11,3,8,71.428571,27.272727,0.200000,1.700000,0.300000
50,10.000000,0.250000,21,15,6,11,4,7,71.428571,36.363636,0.200000,1.700000,0.200000
50,10.000000,0.250000,21,14,7,11,6,5,66.666667,54.545455,0.200000,1.700000,0.100000
50,10.000000,0.250000,21,16,5,11,0,11,76.190476,0.000000,0.200000,1.800000,0.900000
50,10.000000,0.250000,21,16,5,11,1,10,76.190476,9.090909,0.200000,1.800000,0.800000
50,10.000000,0.250000,21,18,3,11,1,10,85.714286,9.090909,0.200000,1.800000,0.700000
50,10.000000,0.250000,21,17,4,11,1,10,80.952381,9.090909,0.200000,1.800000,0.600000
