lag,zScoreThreshold,influence,numberOfBumps,numberOfCorrectBumpDetections,numberOfIncorrectBumpDetections,numberOfPotholes,numberOfCorrectPotholeDetections,numberOfIncorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess,bumpFalsePositives,potholeFalsePositives
50, 10.000000, 0.250000, 21, 19, 2, 8, 6, 2, 90.476190, 75.000000, 3, 7
40, 5.000000, 0.250000, 21, 17, 4, 8, 4, 4, 80.952381, 50.000000, 38, 34
40, 10.000000, 0.250000, 21, 17, 4, 8, 6, 2, 80.952381, 75.000000, 2, 13
40, 15.000000, 0.250000, 21, 6, 15, 8, 5, 3, 28.571429, 62.500000, 1, 12
40, 20.000000, 0.250000, 21, 5, 16, 8, 5, 3, 23.809524, 62.500000, 0, 10
50, 5.000000, 0.250000, 21, 16, 5, 8, 5, 3, 76.190476, 62.500000, 33, 24
50, 10.000000, 0.250000, 21, 19, 2, 8, 6, 2, 90.476190, 75.000000, 3, 7
50, 15.000000, 0.250000, 21, 9, 12, 8, 6, 2, 42.857143, 75.000000, 1, 8
50, 20.000000, 0.250000, 21, 5, 16, 8, 5, 3, 23.809524, 62.500000, 0, 9
60, 5.000000, 0.250000, 21, 17, 4, 8, 5, 3, 80.952381, 62.500000, 27, 31
60, 10.000000, 0.250000, 21, 19, 2, 8, 6, 2, 90.476190, 75.000000, 2, 15
60, 15.000000, 0.250000, 21, 10, 11, 8, 6, 2, 47.619048, 75.000000, 1, 14
60, 20.000000, 0.250000, 21, 5, 16, 8, 4, 4, 23.809524, 50.000000, 0, 13
50, 10.000000, 0.250000, 21, 5, 16, 8, 0, 8, 23.809524, 0.000000, 0, 0, 4.000000, 0.000000, 2.000000, 0.100000
