lag,zScoreThreshold,influence,numberOfBumps,numberOfCorrectBumpDetections,numberOfIncorrectBumpDetections,numberOfPotholes,numberOfCorrectPotholeDetections,numberOfIncorrectPotholeDetections,bumpDetectionSuccess,potholeDetectionSuccess,activeFilterThreshold,posCoef,negCoef
50, 0.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.050000, 2.000000, 0.100000
50, 2.500000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.050000, 2.000000, 0.100000
50, 5.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.050000, 2.000000, 0.100000
50, 7.500000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.050000, 2.000000, 0.100000
50, 10.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.050000, 2.000000, 0.100000
50, 12.500000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.050000, 2.000000, 0.100000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.050000, 2.000000, 0.100000
50, 17.500000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.050000, 2.000000, 0.100000
50, 20.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.050000, 2.000000, 0.100000
50, 0.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 2.000000, 0.100000
50, 2.500000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 2.000000, 0.100000
50, 5.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 2.000000, 0.100000
50, 7.500000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 2.000000, 0.100000
50, 10.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 2.000000, 0.100000
50, 12.500000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 2.000000, 0.100000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 2.000000, 0.100000
50, 17.500000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 2.000000, 0.100000
50, 20.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.100000, 2.000000, 0.100000
50, 0.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.150000, 2.000000, 0.100000
50, 2.500000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.150000, 2.000000, 0.100000
50, 5.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.150000, 2.000000, 0.100000
50, 7.500000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.150000, 2.000000, 0.100000
50, 10.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.150000, 2.000000, 0.100000
50, 12.500000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.150000, 2.000000, 0.100000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.150000, 2.000000, 0.100000
50, 17.500000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.150000, 2.000000, 0.100000
50, 20.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.150000, 2.000000, 0.100000
50, 0.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 2.000000, 0.100000
50, 2.500000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 2.000000, 0.100000
50, 5.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 2.000000, 0.100000
50, 7.500000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 2.000000, 0.100000
50, 10.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 2.000000, 0.100000
50, 12.500000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 2.000000, 0.100000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 2.000000, 0.100000
50, 17.500000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 2.000000, 0.100000
50, 20.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.200000, 2.000000, 0.100000
50, 0.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.250000, 2.000000, 0.100000
50, 2.500000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.250000, 2.000000, 0.100000
50, 5.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.250000, 2.000000, 0.100000
50, 7.500000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.250000, 2.000000, 0.100000
50, 10.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.250000, 2.000000, 0.100000
50, 12.500000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.250000, 2.000000, 0.100000
50, 15.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.250000, 2.000000, 0.100000
50, 17.500000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.250000, 2.000000, 0.100000
50, 20.000000, 0.250000, 21, 0, 21, 8, 0, 8, 0.000000, 0.000000, 0.250000, 2.000000, 0.100000
