lag,threshold,influence,numberOfCorrectBumpDetections,numberOfCorrectPotholeDetections,numberOfIncorrectBumpDetections,numberOfIncorrectPotholeDetections
55,7.000000,0.250000,14,6,7,5
40,7.000000,0.250000,14,6,7,5
40,8.000000,0.250000,14,6,7,5
40,9.000000,0.250000,14,6,7,5
40,10.000000,0.250000,14,5,7,6
40,11.000000,0.250000,14,5,7,6
40,12.000000,0.250000,13,5,8,6
40,13.000000,0.250000,13,4,8,7
40,14.000000,0.250000,13,4,8,7
40,15.000000,0.250000,12,4,9,7
40,16.000000,0.250000,12,4,9,7
40,17.000000,0.250000,13,5,8,6
40,18.000000,0.250000,13,5,8,6
40,19.000000,0.250000,12,5,9,6
40,20.000000,0.250000,12,5,9,6
42,7.000000,0.250000,14,6,7,5
42,8.000000,0.250000,14,6,7,5
42,9.000000,0.250000,14,6,7,5
42,10.000000,0.250000,14,5,7,6
42,11.000000,0.250000,13,5,8,6
42,12.000000,0.250000,13,5,8,6
42,13.000000,0.250000,13,4,8,7
42,14.000000,0.250000,13,4,8,7
42,15.000000,0.250000,13,4,8,7
42,16.000000,0.250000,13,4,8,7
42,17.000000,0.250000,13,5,8,6
42,18.000000,0.250000,13,5,8,6
42,19.000000,0.250000,12,5,9,6
42,20.000000,0.250000,12,5,9,6
44,7.000000,0.250000,14,6,7,5
44,8.000000,0.250000,14,6,7,5
44,9.000000,0.250000,14,6,7,5
44,10.000000,0.250000,14,5,7,6
44,11.000000,0.250000,13,5,8,6
44,12.000000,0.250000,13,5,8,6
44,13.000000,0.250000,13,4,8,7
44,14.000000,0.250000,13,4,8,7
44,15.000000,0.250000,13,4,8,7
44,16.000000,0.250000,13,4,8,7
44,17.000000,0.250000,13,5,8,6
44,18.000000,0.250000,13,5,8,6
44,19.000000,0.250000,12,5,9,6
44,20.000000,0.250000,12,5,9,6
46,7.000000,0.250000,14,6,7,5
46,8.000000,0.250000,14,6,7,5
46,9.000000,0.250000,14,6,7,5
46,10.000000,0.250000,14,5,7,6
46,11.000000,0.250000,13,5,8,6
46,12.000000,0.250000,13,5,8,6
46,13.000000,0.250000,13,5,8,6
46,14.000000,0.250000,13,4,8,7
46,15.000000,0.250000,13,4,8,7
46,16.000000,0.250000,12,4,9,7
46,17.000000,0.250000,13,5,8,6
46,18.000000,0.250000,13,5,8,6
46,19.000000,0.250000,13,5,8,6
46,20.000000,0.250000,12,5,9,6
48,7.000000,0.250000,14,6,7,5
48,8.000000,0.250000,14,6,7,5
48,9.000000,0.250000,14,6,7,5
48,10.000000,0.250000,14,5,7,6
48,11.000000,0.250000,13,5,8,6
